73, 74, 84, 94, 64
100, 83, 56, 58, 63
98, 80, 57, 83, 68
55, 60, 89, 87, 94
79, 81, 76, 60, 68
50, 67, 61, 71, 68
98, 94, 52, 85, 84
96, 69, 60, 60, 54
80, 89, 58, 79, 50
62, 84, 75, 92, 89
73, 67, 69, 67, 67
87, 58, 52, 84, 96
57, 53, 60, 77, 69
59, 89, 59, 79, 50
93, 92, 89, 77, 79
89, 76, 62, 99, 98
83, 58, 98, 58, 78
57, 84, 77, 64, 65
84, 53, 99, 96, 53
81, 63, 61, 56, 51
68, 55, 93, 73, 95
85, 60, 53, 93, 98
60, 86, 72, 86, 98
76, 55, 70, 56, 85
87, 55, 64, 64, 96
56, 86, 70, 80, 61
66, 89, 66, 67, 92
87, 87, 70, 68, 76
80, 66, 75, 66, 52
98, 78, 86, 68, 76
84, 91, 58, 86, 91
63, 81, 82, 96, 94
51, 65, 80, 51, 62
62, 71, 72, 94, 69
79, 97, 77, 59, 96
76, 89, 83, 76, 60
98, 98, 90, 52, 79
77, 80, 86, 53, 89
59, 75, 69, 86, 83
99, 82, 96, 92, 86
52, 58, 62, 79, 91
81, 74, 56, 95, 59
70, 92, 95, 52, 63
97, 92, 99, 65, 93
92, 95, 75, 81, 80
68, 84, 55, 79, 78
66, 64, 71, 57, 72
66, 51, 67, 91, 78
81, 95, 63, 65, 95
69, 80, 59, 89, 78
73, 84, 63, 50, 100
63, 89, 81, 97, 65
93, 54, 73, 83, 68
84, 85, 75, 96, 93
63, 51, 96, 79, 89
50, 76, 69, 92, 51
83, 98, 63, 65, 91
73, 63, 77, 85, 86
86, 52, 79, 67, 88
50, 74, 79, 69, 93
82, 63, 72, 55, 51
50, 74, 67, 60, 67
100, 61, 73, 55, 65
53, 89, 59, 88, 54
87, 81, 52, 55, 52
96, 97, 58, 78, 81
80, 64, 52, 99, 82
78, 66, 89, 71, 98
89, 68, 93, 81, 87
79, 99, 89, 68, 79
67, 74, 96, 83, 100
73, 79, 65, 93, 97
77, 52, 90, 99, 80
53, 81, 85, 98, 73
53, 81, 65, 76, 96
87, 66, 88, 84, 60
83, 50, 61, 88, 68
88, 100, 80, 70, 98
54, 96, 99, 67, 76
72, 95, 75, 64, 72
88, 88, 58, 92, 76
65, 56, 100, 59, 67
51, 63, 78, 85, 60
95, 72, 56, 57, 91
64, 95, 95, 81, 99
95, 90, 62, 73, 86
50, 60, 58, 59, 66
79, 83, 68, 74, 68
92, 93, 90, 52, 81
69, 65, 91, 69, 84
55, 94, 55, 68, 78
81, 85, 56, 100, 67
58, 65, 75, 64, 88
77, 55, 62, 91, 87
90, 63, 62, 67, 72
92, 63, 82, 93, 69
63, 93, 60, 57, 65
60, 97, 60, 84, 90
93, 70, 66, 84, 92
65, 97, 88, 80, 68
52, 90, 67, 72, 59
65, 87, 62, 61, 55
